YEAR, PARTY
1961,Dem
1962,Dem
1963,Dem
1964,Dem
1965,Dem
1966,Dem
1967,Dem
1968,Dem
1969,Rep
1970,Rep
1971,Rep
1972,Rep
1973,Rep
1974,Rep
1975,Rep
1976,Rep
1977,Dem
1978,Dem
1979,Dem
1980,Dem
1981,Rep
1982,Rep
1983,Rep
1984,Rep
1985,Rep
1986,Rep
1987,Rep
1988,Rep
1989,Rep
1990,Rep
1991,Rep
1992,Rep
1993,Dem
1994,Dem
1995,Dem
1996,Dem
1997,Dem
1998,Dem
1999,Dem
2000,Dem
2001,Rep
2002,Rep
2003,Rep
2004,Rep
2005,Rep
2006,Rep
2007,Rep
2008,Rep
2009,Dem
2010,Dem
2011,Dem
2012,Dem
